sn,fault_time,label,msg_feature,server_model,venus_feature,crashdump_feature
SERVER_25736,2020-04-23 16:18:00,0,"[[233, 241, 4], [233, 20, 4], [234, 235, 4], [234, 242, 4], [236, 3, 0], [236, 3, 4]]",12,"[[0, 0, 0]]","[0, 0]"
SERVER_1596,2020-04-15 22:47:00,0,"[[250, 23, 4], [250, 95, 4], [259, 132, 4], [236, 3, 4], [233, 26, 4], [236, 261, 4], [265, 255, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25721,2020-05-28 13:38:00,0,"[[265, 266, 4], [259, 132, 4], [214, 13, 4], [207, 13, 4], [240, 131, 4], [238, 131, 4], [233, 20, 4], [233, 26, 4], [254, 255, 4], [265, 255, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4], [2, 243, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_1730,2020-02-18 14:18:00,0,"[[250, 23, 4], [250, 95, 4], [259, 132, 4], [259, 132, 0], [236, 3, 4], [236, 3, 0]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_15952,2020-07-26 15:40:00,0,"[[257, 258, 4], [2, 242, 4], [250, 23, 4], [250, 95, 4], [2, 243, 4], [251, 252, 4], [256, 132, 4], [259, 132, 4], [236, 3, 4], [265, 255, 4], [233, 26, 4], [236, 261, 4], [233, 20, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_2887,2020-03-11 14:22:00,0,"[[250, 23, 4], [254, 255, 4], [233, 26, 4], [236, 261, 4], [233, 20, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_1784,2020-11-02 21:31:00,0,"[[260, 8, 4], [250, 23, 4], [220, 151, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[2, 3, 4]]","[0, 0]"
SERVER_2904,2020-09-23 17:46:00,0,"[[250, 23, 4], [260, 8, 4], [220, 151, 4], [259, 132, 4], [236, 3, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26690,2020-05-28 23:31:00,0,"[[250, 23, 4], [250, 95, 4], [256, 132, 4], [259, 132, 4], [236, 3, 4], [254, 255, 4], [265, 255, 4], [236, 261, 4], [233, 26, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4], [265, 266, 4], [254, 266, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25766,2020-05-08 06:11:00,0,"[[236, 3, 4], [236, 3, 0], [259, 132, 0], [259, 132, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_1876,2020-02-05 20:49:00,0,"[[250, 23, 4], [251, 252, 4], [233, 26, 4], [254, 255, 0], [233, 20, 4], [250, 95, 4], [250, 239, 4], [2, 243, 4], [259, 132, 0], [259, 132, 4], [236, 3, 0], [236, 3, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_2492,2020-11-14 01:25:00,0,"[[250, 23, 4], [233, 26, 4], [236, 261, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_14900,2020-09-24 19:45:00,0,"[[220, 152, 4], [250, 23, 4], [236, 3, 4], [259, 132, 4], [265, 255, 4], [233, 26, 4], [236, 261, 4], [233, 20, 4]]",13,"[[0, 0, 0]]","[3, 5]"
SERVER_1746,2020-02-01 16:48:00,0,"[[250, 23, 4], [250, 95, 4], [2, 243, 4], [233, 26, 4], [222, 3, 4], [222, 3, 0], [233, 20, 4], [257, 258, 4], [2, 242, 4], [259, 132, 0], [259, 132, 4], [236, 3, 0], [236, 3, 4], [236, 261, 0], [236, 261, 4], [254, 255, 0], [265, 255, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25733,2020-05-22 17:13:00,0,"[[250, 23, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4], [250, 95, 4], [259, 132, 4], [236, 3, 4], [233, 26, 4], [236, 261, 4], [254, 255, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_14954,2020-09-20 20:25:00,0,"[[257, 258, 4], [2, 243, 4], [251, 252, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [236, 3, 4], [236, 261, 4]]",13,"[[0, 0, 0]]","[7, 8]"
SERVER_26703,2020-09-13 13:20:00,0,"[[257, 258, 4], [2, 243, 4], [251, 252, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [260, 8, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26724,2020-10-20 03:24:00,0,"[[236, 3, 4], [257, 258, 4], [236, 261, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[9, 11]"
SERVER_15100,2020-09-02 19:42:00,0,"[[250, 23, 4], [260, 8, 4], [256, 132, 4], [256, 132, 0], [259, 132, 0], [259, 132, 4], [236, 3, 0], [236, 3, 4]]",13,"[[2, 3, 4]]","[0, 0]"
SERVER_3651,2020-01-19 21:47:00,0,"[[250, 23, 4], [250, 95, 4], [259, 132, 0], [259, 132, 4], [236, 3, 4], [236, 3, 0]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_14603,2020-01-29 07:42:00,0,"[[250, 23, 4], [250, 95, 4], [236, 3, 0], [236, 3, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25734,2020-10-03 11:57:00,0,"[[250, 23, 4], [236, 261, 4], [233, 26, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_14334,2020-06-16 13:38:00,0,"[[257, 258, 4], [259, 132, 4], [259, 132, 0], [236, 3, 4], [236, 3, 0], [262, 263, 4], [236, 261, 0], [236, 261, 4], [254, 255, 4], [254, 255, 0], [233, 26, 4], [233, 20, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_17432,2020-08-17 12:18:00,0,"[[250, 23, 4], [250, 95, 4], [236, 3, 4], [233, 26, 4], [236, 261, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25745,2020-05-24 03:57:00,0,"[[260, 8, 4], [259, 132, 4], [236, 3, 4], [256, 132, 4], [236, 261, 4], [233, 26, 4], [254, 255, 4], [265, 255, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_2467,2020-05-01 06:11:00,0,"[[250, 23, 4], [260, 8, 4], [259, 132, 4], [236, 3, 4], [256, 132, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_1767,2020-01-30 18:18:00,0,"[[257, 258, 4], [2, 242, 4], [251, 252, 4], [250, 23, 4], [250, 95, 4], [259, 132, 4], [259, 132, 0], [236, 3, 0], [236, 3, 4], [236, 261, 4], [233, 26, 4], [236, 261, 0]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_15929,2020-05-23 17:52:00,0,"[[222, 3, 4], [233, 26, 4], [265, 255, 4], [233, 20, 4], [2, 242, 4], [251, 252, 4], [220, 152, 4], [260, 8, 4], [2, 243, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_1830,2020-04-14 01:45:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26714,2020-05-10 13:19:00,0,"[[233, 26, 4], [254, 255, 0], [254, 255, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4], [259, 132, 0], [259, 132, 4], [236, 3, 0], [236, 3, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_14380,2020-01-21 18:49:00,0,"[[236, 3, 0], [236, 3, 4], [265, 255, 4], [236, 261, 4], [259, 132, 4], [233, 26, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4], [220, 152, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_15418,2020-03-05 15:38:00,0,"[[256, 132, 4], [259, 132, 4], [236, 3, 4], [254, 255, 4], [265, 255, 4], [233, 26, 4], [236, 261, 4], [233, 20, 4], [2, 242, 4], [251, 252, 4], [282, 189, 4], [282, 189, 9], [2, 243, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26706,2020-08-28 09:52:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26694,2020-10-18 13:17:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26039,2020-08-13 03:29:00,0,"[[259, 132, 4], [236, 3, 4], [265, 255, 4], [233, 20, 4], [233, 26, 4], [236, 261, 4], [5, 13, 4], [271, 13, 4], [2, 242, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26693,2020-11-03 22:11:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25812,2020-01-31 15:39:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25732,2020-05-15 18:24:00,0,"[[254, 255, 0], [265, 255, 4], [254, 255, 4], [233, 26, 4], [214, 13, 4], [207, 13, 4], [238, 131, 4], [238, 131, 0], [240, 131, 4], [233, 20, 4], [5, 163, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_15291,2020-11-12 18:19:00,0,"[[236, 3, 4], [233, 26, 4], [236, 261, 4], [259, 132, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[12, 13]"
SERVER_2616,2020-08-14 15:55:00,0,"[[214, 42, 4], [214, 42, 9], [260, 8, 4], [250, 23, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25733,2020-06-02 18:50:00,0,"[[222, 3, 4], [233, 26, 4], [236, 261, 4], [254, 255, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_1784,2020-11-05 16:59:00,0,"[[250, 23, 4], [260, 8, 4], [220, 151, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4], [2, 242, 4], [254, 255, 4], [254, 255, 0], [265, 255, 4], [233, 26, 4], [233, 20, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_2285,2020-03-24 15:41:00,0,"[[259, 132, 4], [236, 3, 4], [265, 255, 4], [233, 26, 4], [236, 261, 4], [233, 20, 4], [257, 258, 4], [250, 23, 4], [2, 242, 4], [251, 252, 4], [220, 152, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26705,2020-01-15 19:57:00,0,"[[238, 131, 4], [214, 13, 4], [238, 131, 0], [207, 13, 4], [233, 20, 4], [233, 26, 4], [254, 255, 0], [254, 255, 4], [2, 242, 4], [251, 252, 4], [236, 3, 0], [259, 132, 0], [236, 261, 0], [262, 263, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26723,2020-06-11 20:53:00,0,"[[214, 42, 4], [214, 42, 9], [260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25760,2020-06-29 09:08:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_14530,2020-05-30 14:44:00,0,"[[250, 95, 4], [250, 23, 4], [259, 132, 4], [236, 3, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25824,2020-05-11 18:23:00,0,"[[233, 26, 4], [254, 255, 0], [265, 255, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4], [259, 132, 4], [259, 132, 0], [236, 3, 0], [236, 3, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25728,2020-04-17 11:43:00,0,"[[282, 290, 291], [282, 189, 283], [222, 3, 0], [236, 261, 0], [233, 26, 4], [262, 263, 4], [2, 243, 4], [271, 163, 4], [233, 20, 4], [236, 3, 0]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26696,2020-04-01 05:10:00,0,"[[259, 132, 4], [236, 3, 4], [254, 255, 4], [236, 261, 4], [233, 26, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4], [220, 152, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25796,2020-06-12 08:57:00,0,"[[233, 26, 4], [236, 261, 4], [265, 255, 4], [259, 132, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_3477,2020-06-03 19:06:00,0,"[[2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_25731,2020-09-23 12:05:00,0,"[[264, 0, 0], [236, 261, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[3, 5]"
SERVER_26699,2020-10-07 12:33:00,0,"[[236, 261, 4], [233, 26, 4], [265, 255, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [250, 23, 4]]",13,"[[8, 9, 10]]","[0, 0]"
SERVER_26695,2020-09-27 13:54:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26727,2020-05-06 13:22:00,0,"[[236, 3, 4], [236, 3, 0], [236, 261, 0], [233, 26, 4], [236, 261, 4], [233, 20, 4], [254, 255, 4], [265, 255, 4], [254, 255, 0], [259, 132, 4], [259, 132, 0], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_14578,2020-07-07 22:41:00,0,"[[259, 132, 0], [259, 132, 4], [236, 3, 0], [236, 3, 4], [256, 132, 0], [256, 132, 4], [236, 261, 0], [236, 261, 4], [233, 26, 4], [265, 255, 4], [254, 255, 0]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_2574,2020-08-08 01:12:00,0,"[[250, 23, 4], [265, 255, 4], [254, 255, 4], [236, 261, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_14405,2020-10-03 01:52:00,0,"[[250, 23, 4], [250, 95, 4], [236, 3, 4]]",13,"[[12, 9, 10]]","[0, 0]"
SERVER_2286,2020-05-07 15:32:00,0,"[[2, 243, 4], [251, 252, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_14979,2020-04-03 07:12:00,0,"[[2, 243, 4], [251, 252, 4], [259, 132, 4], [236, 3, 4]]",13,"[[0, 0, 0]]","[0, 0]"
SERVER_26745,2020-05-23 16:47:00,0,"[[2, 243, 4], [251, 252, 4], [259, 132, 4], [236, 3, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26717,2020-09-03 15:49:00,0,"[[257, 258, 4], [2, 242, 4], [315, 189, 4], [317, 189, 4], [319, 189, 4], [296, 189, 4], [320, 189, 4], [321, 189, 4], [313, 189, 4], [318, 189, 4], [251, 252, 4], [233, 26, 4], [265, 255, 4], [233, 20, 4], [268, 189, 4], [312, 3, 4], [312, 261, 4], [282, 189, 4], [284, 285, 4], [309, 3, 4], [2, 243, 4], [309, 261, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_2159,2020-03-29 09:03:00,0,"[[267, 263, 4], [233, 26, 4], [259, 132, 4], [233, 20, 4], [250, 23, 4], [2, 242, 4], [250, 95, 4], [267, 310, 4], [236, 3, 4], [236, 261, 4], [2, 243, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26818,2020-09-23 11:51:00,0,"[[233, 26, 4], [265, 255, 4], [222, 3, 4], [233, 20, 4], [257, 258, 4], [207, 42, 4], [259, 132, 4], [250, 23, 4], [250, 95, 4], [236, 3, 4], [236, 261, 4], [214, 42, 4], [250, 239, 4], [2, 242, 4], [251, 252, 4], [214, 42, 9], [220, 152, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_16919,2020-07-15 15:41:00,0,"[[250, 23, 4], [233, 26, 4], [236, 261, 4], [265, 255, 4], [222, 3, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [214, 42, 4], [251, 252, 4], [220, 152, 4], [214, 13, 4], [207, 13, 4], [240, 131, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26030,2020-05-16 17:44:00,0,"[[233, 26, 4], [222, 3, 4], [233, 20, 4], [236, 3, 4], [236, 261, 4], [265, 255, 4], [207, 42, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26715,2020-07-04 04:38:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26846,2020-09-09 15:23:00,0,"[[233, 26, 4], [254, 255, 4], [265, 255, 4], [233, 20, 4], [2, 242, 4], [251, 252, 4], [214, 13, 4], [240, 131, 4], [207, 13, 4], [238, 131, 4], [2, 243, 4], [257, 258, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26726,2020-02-05 10:11:00,0,"[[259, 132, 4], [236, 3, 4], [265, 255, 4], [233, 26, 4], [236, 261, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4], [220, 152, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26778,2020-01-21 03:14:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_7154,2020-06-01 18:44:00,0,"[[250, 23, 4], [256, 132, 4], [259, 132, 4], [236, 3, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_6967,2020-07-26 07:56:00,0,"[[259, 132, 4], [236, 3, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26744,2020-05-30 02:17:00,0,"[[277, 278, 4], [2, 243, 4], [251, 252, 4], [259, 132, 4], [236, 3, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_25762,2020-02-20 11:58:00,0,"[[233, 26, 4], [236, 261, 4], [254, 255, 4], [265, 255, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_15062,2020-03-17 05:12:00,0,"[[236, 3, 0], [236, 3, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26805,2020-02-21 15:16:00,0,"[[260, 8, 4], [257, 258, 4], [2, 243, 4], [251, 252, 4]]",16,"[[0, 0, 0]]","[0, 0]"
SERVER_26689,2020-06-19 18:24:00,0,"[[5, 324, 4], [5, 324, 9]]",10,"[[0, 0, 0]]","[0, 0]"
SERVER_26710,2020-06-19 18:10:00,0,"[[5, 324, 4], [5, 324, 9]]",10,"[[0, 0, 0]]","[0, 0]"
SERVER_17377,2020-11-14 08:09:00,0,"[[250, 23, 4], [214, 13, 4], [220, 151, 4], [240, 131, 4], [207, 13, 4], [233, 20, 4], [250, 95, 4], [236, 3, 4], [236, 261, 4], [233, 26, 4], [2, 242, 4], [251, 252, 4]]",14,"[[8, 14, 10]]","[0, 0]"
SERVER_15758,2020-05-14 10:15:00,0,"[[233, 26, 4], [233, 20, 4], [236, 3, 4], [268, 189, 4], [268, 290, 4], [282, 189, 4], [282, 290, 4], [265, 255, 4], [236, 261, 4], [268, 290, 9], [282, 290, 9], [282, 189, 9], [268, 189, 9], [257, 258, 4], [2, 242, 4]]",14,"[[0, 0, 0]]","[0, 0]"
SERVER_5815,2020-04-27 12:00:00,0,"[[250, 23, 4], [233, 26, 4], [265, 255, 4], [233, 20, 4], [2, 242, 4], [251, 252, 4], [236, 3, 4], [236, 261, 4], [259, 132, 4], [257, 258, 4]]",14,"[[0, 0, 0]]","[0, 0]"
SERVER_25751,2020-05-21 18:22:00,0,"[[220, 152, 4], [233, 26, 4], [233, 20, 4], [2, 242, 4], [236, 3, 4]]",14,"[[0, 0, 0]]","[0, 0]"
SERVER_5316,2020-06-03 02:32:00,0,"[[250, 23, 4], [250, 95, 4], [233, 26, 4], [265, 255, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",14,"[[0, 0, 0]]","[0, 0]"
SERVER_25752,2020-05-16 14:19:00,0,"[[2, 243, 4], [236, 3, 4]]",14,"[[0, 0, 0]]","[0, 0]"
SERVER_26735,2020-11-02 01:16:00,0,"[[236, 3, 4], [236, 261, 4], [233, 26, 4], [265, 255, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",14,"[[0, 0, 0]]","[15, 16]"
SERVER_2866,2020-09-18 18:16:00,0,"[[250, 23, 4], [260, 8, 4], [259, 132, 4], [259, 132, 0], [236, 3, 0], [236, 3, 4], [236, 261, 4], [236, 261, 0], [233, 26, 4], [254, 255, 0], [254, 255, 4]]",14,"[[2, 3, 4]]","[0, 0]"
SERVER_7460,2020-01-09 12:39:00,0,"[[250, 23, 4], [260, 8, 4], [259, 132, 4], [236, 3, 4], [236, 261, 4], [233, 26, 4], [265, 255, 4], [233, 20, 4], [257, 258, 4], [2, 242, 4], [251, 252, 4]]",14,"[[0, 0, 0]]","[0, 0]"
