,label,feature_less,feature_more
10,[2],"[[-1.4583892   4.0015173   1.0584958  -0.7582021  -1.1949675   4.9531894
  -1.2476485   3.797764   -1.694874   -0.93042016]]","[[-0.1611139  -0.6794506   1.7987542   1.0025063   0.01981919  0.77993363
   0.8477445  -0.6931588  -3.5409265  -2.3180034   0.5790349  -0.56014496
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  1.6798946  -1.342442   -0.09238873 -0.5860451
   1.1860714  -1.88758    -1.4881805   0.18140563  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
11,[2],"[[-1.5753086  -0.57489955 -0.6490987   0.7552886  -0.49278438  2.3728254
   0.5830142   2.906595   -1.5519252   0.02805748]]","[[ 0.04848956  0.4413322   1.0192609   1.2906     -0.12229252  0.9964268
   0.87277496  0.7731949   0.02380545 -1.0163554  -1.2951114   0.968556
   0.9433228   1.4341074  -2.1687326  -0.25517452 -1.5406817   0.6814695
  -0.88159585  0.6076839   1.8332069   0.2960404  -0.8843411   0.8401377
   1.3416958  -0.39539355  0.5762711   1.5986495  -1.3762996  -0.37341577
  -1.0264744  -1.9974653  -0.2010505   1.0381509   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
12,[2],"[[-1.1688777   2.4778419  -0.4394775  -1.0343915  -1.8771539   1.658268
  -0.93140966  1.1244917  -0.06776965  0.47425732]]","[[ 0.3627369   0.03982389  0.00964325 -1.2017481   0.59215546 -0.51449156
  -1.1011335   0.2386306  -0.23501988 -0.11242065 -0.29365125 -0.97539693
   0.9705528   0.66829765  1.3242346  -0.7448686  -1.0690483  -2.1204047
  -0.88159597  0.60768384  1.8332068   0.2960404  -0.8843411   0.8401377
   1.3416958  -0.39539358  0.76030797  2.0589902  -0.47753096 -0.0546996
  -1.7095371   0.8597765   0.03256715  2.1669137   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
13,[2],"[[-1.6311091   3.1720376   0.594419   -0.5437633  -1.0099547   3.2869306
  -1.8193631   2.5918267   0.15091676  0.5582524 ]]","[[ 0.50718915 -0.23940368  1.7716957  -0.32112128 -0.91231894  0.8226061
   0.823065   -0.09185214  0.8704391  -0.53517026  0.6924224  -0.89842564
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358 -1.2982203   0.68467396 -0.1849715  -1.8618613
   0.5118908   1.9946312  -1.6964903   1.7900784   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
14,[2],"[[-1.456661    2.5737672   1.060606   -1.7479254  -1.0395509   3.443443
   0.19453308  2.6156688  -1.3766584  -0.3672828 ]]","[[-0.1611139  -0.6794506   1.7987542   1.0025063   0.01981919  0.77993363
   0.8477445  -0.6931588  -3.5409265  -2.3180034   0.5790349  -0.56014496
   0.33455673  0.768773   -1.2028942   0.9201474  -1.3002174  -1.3387375
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  0.85264933 -0.72170186  1.6413014   0.59641826
  -0.9007535  -0.7738858  -1.349552   -0.495495    0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
15,[2],"[[-1.2630305   4.0857754   0.05217281  0.10878214  0.14123656  3.9353843
   0.6556929   2.646037   -1.3215606  -1.2127562 ]]","[[-2.229414    1.090945   -1.0873325   0.24562131  0.7457066  -0.1428444
  -0.1952377  -0.98143756 -0.62894464 -0.7184759   1.8068731  -0.6079449
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358 -1.7470219  -0.4022318   0.36255172  0.01219099
  -0.9705795  -2.3153079   1.3621682   0.9457242   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
16,[1],"[[ 2.5462947 -0.6805196 -1.3846719  1.2784353 -1.5967304  0.5525846
  -0.6987404  2.2759242  1.9320798 -0.1252639]]","[[-0.36194557 -2.0243587   0.46747273 -0.44265524 -1.4986715  -0.5487637
   0.61668444 -0.10505854 -0.25768992  0.6175768  -0.9487246  -1.410173
   0.0368678   0.01964021  1.4213076   0.63294965  0.35935766  0.11442813
  -0.88159585  0.60768384  1.8332068   0.2960404  -0.8843411   0.8401377
   1.3416959  -0.39539355  0.7210859   0.59535927 -1.8780284  -1.7199633
  -0.2837687  -1.1352615   0.36188108  1.8375725   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
17,[1],"[[ 3.2513325  -1.5452473  -1.0022755   1.6840427   1.9429231  -0.5269467
  -0.48656523  2.1663322   1.649004    0.7808407 ]]","[[-2.3054032   0.74371934  0.82252896 -0.4753606  -0.15365267 -1.6545477
   1.4077243   1.3901241  -0.18462643  0.37449434 -1.8575674  -0.11146387
  -1.4640894   2.0405414   0.35332438  0.6722613  -0.45091856  0.930339
  -0.88159597  0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  0.73650324  0.28650376  0.5172001  -2.0137641
  -0.04817929  0.87529033  0.25122708  0.8222673   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
18,[2],"[[-1.0682517  -0.7123536   0.30362588  0.88865554  0.76647484  1.8827477
  -0.38351554  3.1834965  -1.3949842  -0.1626288 ]]","[[-0.49262357  0.83459896 -0.63647664  0.5399681   0.6093432   1.1056459
   0.56816006 -0.23108475  0.08196598  0.72180885 -0.5142913   0.9180367
   0.9542371   1.4439778  -2.1560335  -0.23624752 -1.5293342   0.73910683
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401377
   1.3416958  -0.39539355  0.27007747  2.7178774   0.17330831  0.12640676
   1.0609365  -0.9835539  -0.9370693  -0.5967295   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
19,[2],"[[-1.001097    3.5178955  -0.5881085   0.11226889 -0.5443989   3.598079
  -0.7691664   4.036265   -1.510819   -1.062131  ]]","[[-0.58852327 -0.67168754 -0.9354092   0.3146946  -0.5467034   1.8469512
   0.09725451 -1.274837   -1.0354804   0.29735133  0.43824726 -1.5446298
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358 -1.1200887   0.65959793  0.26858848 -0.07962888
   0.86652607 -1.1197319   1.5482802   0.3194448   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
20,[2],"[[-2.715267   1.9463853  2.186783  -0.9099884 -2.1256607  4.5439386
  -0.7124787  3.6751738 -2.1565504 -1.0907153]]","[[-0.13557592 -0.6446012   1.7690699   1.0100156   0.01228961  0.7589501
   0.82587624 -0.6623741  -3.4953387  -2.2835393   0.5583349  -0.51412237
   0.63163406  1.1225929  -2.451781   -0.7796142  -1.8041087  -0.9096881
  -0.88159597  0.6076839   1.8332069   0.29604042 -0.8843412   0.8401378
   1.3416959  -0.39539358  1.6798946  -1.342442   -0.09238873 -0.5860451
   1.1860714  -1.88758    -1.4881805   0.18140563  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
21,[3],"[[ 0.7989044  -0.58272886  5.653369    0.05859533 -1.0807878   0.06926434
   1.8515666  -0.3344135   0.7846702  -0.6226353 ]]","[[-0.03497728  0.15212122 -1.064589   -1.8132882  -0.20831639 -0.38655812
   0.99901736  0.33452994  0.18429841  0.5278396   1.1746294   1.5968676
  -0.22064131 -2.170295   -0.69438195 -0.6439277  -0.30495036 -1.1668917
  -0.9853602  -0.54659814  0.25246066  0.22830789 -0.25786132  1.7345771
   0.3700695   0.39713228  0.9415402  -0.7244389   0.76515704 -0.92409813
  -0.553504   -1.8278764   1.3264469   0.39390284  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
22,[1],"[[ 2.924045   -0.69382536 -1.5976269   1.0918893  -1.7165624   0.50969493
  -0.8880184   2.5798416   2.3308756  -0.09193192]]","[[-0.3877178  -2.4187722   0.7136661  -0.66178334 -1.9719044  -0.3238806
   0.7763232  -0.36898077 -0.3162091   0.9727683  -1.3823596  -1.8404269
   0.4459123  -0.5311007   1.7123569   0.6222363   0.5801761  -0.10792588
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  0.7210859   0.59535927 -1.8780284  -1.7199633
  -0.2837687  -1.1352615   0.36188108  1.8375725   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
23,[2],"[[-1.5226315   3.6072912  -0.14791614 -1.3136766  -0.7205932   3.1589723
  -0.57487243  1.8460538  -0.69012123  0.22080296]]","[[-0.1611139  -0.6794506   1.7987542   1.0025063   0.01981919  0.77993363
   0.8477445  -0.6931588  -3.5409265  -2.3180034   0.5790349  -0.56014496
   0.7503129   0.95957994  1.1200005  -0.54160535 -0.93413436 -1.6569833
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358 -0.6217062   0.09131227  0.93152916  0.9307795
   0.52287203 -0.11182436 -0.5209551   1.6147851   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
24,[2],"[[-3.7938685   3.6470854   0.1144287  -1.7547506  -2.5364037   3.8083916
  -1.1635358   2.1353018  -1.6725278   0.09073215]]","[[ 2.3003516  -0.09647796  1.9575129  -0.04938241  0.74643403 -0.08181038
  -1.7140967  -1.1802615  -0.15542892 -0.99042296  0.6242839  -0.37881577
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  0.27007747  2.7178774   0.17330831  0.12640676
   1.0609365  -0.9835539  -0.9370693  -0.5967295   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
25,[2],"[[-0.3093465   3.0144684  -0.00871706  0.3282226  -1.1440454   4.245194
  -0.7753819   4.659345   -2.1376495  -1.7039683 ]]","[[-0.58852327 -0.67168754 -0.9354092   0.3146946  -0.5467034   1.8469512
   0.09725451 -1.274837   -1.0354804   0.29735133  0.43824726 -1.5446298
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  1.3136383   0.49810988  0.4682348  -1.041195
   0.2207352  -2.68665     1.143807   -0.01913997  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
26,[2],"[[-2.1489215   3.7233295   0.07002753 -0.21879435 -0.41414356  3.3998876
  -0.7920019   2.4781556  -1.7366254  -0.56804234]]","[[ 0.6666298   2.0220356  -0.88259757  0.6079003  -0.45436433  0.8540262
   1.2684299  -0.57914865 -0.4392477   1.1491117   1.5575559  -0.33614913
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358 -0.16510583 -0.3681563  -1.1273834   0.9490312
  -0.36539483  0.5620461   1.3166479   1.2470276   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
27,[1],"[[ 2.5462947 -0.6805196 -1.3846719  1.2784353 -1.5967304  0.5525846
  -0.6987404  2.2759242  1.9320798 -0.1252639]]","[[-0.36194557 -2.0243587   0.46747273 -0.44265524 -1.4986715  -0.5487637
   0.61668444 -0.10505854 -0.25768992  0.6175768  -0.9487246  -1.410173
   0.0368678   0.01964021  1.4213076   0.63294965  0.35935766  0.11442813
  -0.88159585  0.60768384  1.8332068   0.2960404  -0.8843411   0.8401377
   1.3416959  -0.39539355  0.7210859   0.59535927 -1.8780284  -1.7199633
  -0.2837687  -1.1352615   0.36188108  1.8375725   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
28,[1],"[[ 3.4686358  -1.1767944  -1.9274769   1.9009954   3.4186313  -0.3232625
  -0.5959597   1.7255406   1.0225906   0.54909056]]","[[-0.7609851   0.5718326  -0.54795384  1.6206292  -0.32722092  0.79107594
   1.9831132   0.5957763   0.07405444  0.7596258  -1.156327    0.90950227
  -0.16281813 -0.01805685  2.87439    -0.2146039  -0.7073626   2.1651752
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  0.27007747  2.7178774   0.17330831  0.12640676
   1.0609365  -0.9835539  -0.9370693  -0.5967295   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
29,[3],"[[ 0.83893085 -0.11369533  1.4818985   0.38581464 -0.22048123 -0.15632065
  -0.6617774   0.5755054   1.6618426   0.14835986]]","[[-0.6490151  -0.16113238 -0.24359669 -0.8648623   1.1309472   0.29660395
   0.32028472 -0.22405702 -0.18876965  0.6002423   0.3205386  -1.5787997
  -1.1154317   0.6963642  -0.3004085  -0.08825518  1.0253754   0.7682009
  -0.88159597  0.60768396  1.833207    0.2960404  -0.8843412   0.8401379
   1.341696   -0.39539358 -0.50537086  1.7073066   0.52969444 -1.0145726
   1.7190753   0.7926953  -0.08443221  0.22838059  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
30,[3],"[[ 0.3835155  -0.12414769  1.2906027   0.63223135 -1.247073    0.81155914
   0.44878715  0.24413264  0.8015862   0.2813762 ]]","[[ 1.1678396   1.1340504   0.25402832  1.3932799  -0.3720076  -0.3120136
  -0.2902449   0.90882677 -1.168616   -0.52455616 -0.49816093  1.8347937
   0.23054415 -0.7526846   1.1451693  -0.65475196  0.8735216  -0.22896704
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  0.7210859   0.59535927 -1.8780284  -1.7199633
  -0.2837687  -1.1352615   0.36188108  1.8375725   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
31,[2],"[[-0.63962007  3.4585838  -0.7843289   0.05463183 -0.7771419   3.4296758
  -1.732321    3.5507586  -0.9814777  -0.75946933]]","[[-0.58852327 -0.67168754 -0.9354092   0.3146946  -0.5467034   1.8469512
   0.09725451 -1.274837   -1.0354804   0.29735133  0.43824726 -1.5446298
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358 -0.13752563  0.01172716 -0.5421013  -1.0969661
  -0.25021067  1.7262408   0.06206019  0.9838262   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
32,[2],"[[-2.7386284   3.0732212  -0.75553614 -0.3893465  -1.2680428   3.6570349
   0.1543594   2.5342886  -1.559593   -0.96163714]]","[[ 1.0525085e+00  4.4951826e-01  6.0245216e-01 -1.6027963e-04
  -1.4067270e-01  3.2072562e-01 -4.7155923e-01 -1.0871651e+00
   6.9683796e-01  1.3383297e+00  7.5096202e-01  1.9708960e-01
   1.9456985e+00  9.2845410e-01  1.6272004e+00 -1.2731985e+00
  -1.6395118e+00 -2.5890007e+00 -8.8159591e-01  6.0768390e-01
   1.8332069e+00  2.9604039e-01 -8.8434112e-01  8.4013778e-01
   1.3416959e+00 -3.9539358e-01  5.6106246e-01  1.2116868e+00
  -1.1948555e+00  1.5081252e+00 -4.0220183e-01 -2.7274585e+00
   9.1372430e-01 -1.9866933e-01  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]"
33,[2],"[[-1.289361    2.9090667  -0.4549786  -0.01777056 -0.33515793  3.4248235
  -0.10311222  2.2925956  -1.1513071  -0.92727095]]","[[-0.45004025  0.48612756 -0.36479434 -0.0782199   0.51719964  1.4442012
  -0.7765927  -0.7851498  -0.00621228  1.050538    0.3517509   0.9136203
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  1.5374262   0.9779098  -0.6795374   0.0520816
  -2.167412   -0.502745   -0.35554528  0.8188291   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
34,[2],"[[-0.3093465   3.0144684  -0.00871706  0.3282226  -1.1440454   4.245194
  -0.7753819   4.659345   -2.1376495  -1.7039683 ]]","[[-0.58852327 -0.67168754 -0.9354092   0.3146946  -0.5467034   1.8469512
   0.09725451 -1.274837   -1.0354804   0.29735133  0.43824726 -1.5446298
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  1.3136383   0.49810988  0.4682348  -1.041195
   0.2207352  -2.68665     1.143807   -0.01913997  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
35,[2],"[[-1.7533203   4.3972573  -0.73608774 -0.8610103  -1.5193036   3.93015
  -0.890631    3.1183035  -1.7243478  -0.13733453]]","[[-0.1611139  -0.6794506   1.7987542   1.0025063   0.01981919  0.77993363
   0.8477445  -0.6931588  -3.5409265  -2.3180034   0.5790349  -0.56014496
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358 -0.34299663 -0.41585416 -0.49968848 -0.95193326
  -0.5995428   0.53957033  0.48854804  0.9480564   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
36,[2],"[[-0.668501    3.187172   -0.39501327 -0.13658056 -0.7200853   3.372951
  -2.7775989   3.7687945  -1.3967907  -0.4963635 ]]","[[-0.58852327 -0.67168754 -0.9354092   0.3146946  -0.5467034   1.8469512
   0.09725451 -1.274837   -1.0354804   0.29735133  0.43824726 -1.5446298
   1.9456985   0.9284541   1.6272004  -1.2731985  -1.6395118  -2.5890007
  -0.8815959   0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  1.8783472   2.1654403   0.05413758  0.45009673
   1.832644    1.2239258  -0.5037672   0.39401498  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
37,[1],"[[ 2.6638727 -0.6707718 -1.2222149  1.0870675 -1.7177392  0.523898
  -0.7545802  2.3341956  2.1855683 -0.0768734]]","[[-0.33278522 -2.1001914   0.5875585  -0.5056647  -1.6819837  -0.3714653
   0.63679177 -0.2604481  -0.25313613  0.87597066 -1.2751584  -1.5256064
   0.30161652 -0.49390095  1.5314906   0.60985124  0.5521878  -0.1888994
  -0.88159597  0.60768384  1.833207    0.2960404  -0.8843411   0.8401378
   1.3416959  -0.3953936   0.7210859   0.59535927 -1.8780284  -1.7199633
  -0.2837687  -1.1352615   0.36188108  1.8375725   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
38,[1],"[[ 3.2513325  -1.5452473  -1.0022755   1.6840427   1.9429231  -0.5269467
  -0.48656523  2.1663322   1.649004    0.7808407 ]]","[[-2.3054032   0.74371934  0.82252896 -0.4753606  -0.15365267 -1.6545477
   1.4077243   1.3901241  -0.18462643  0.37449434 -1.8575674  -0.11146387
  -1.4640894   2.0405414   0.35332438  0.6722613  -0.45091856  0.930339
  -0.88159597  0.6076839   1.8332069   0.2960404  -0.8843411   0.8401378
   1.3416959  -0.39539358  0.73650324  0.28650376  0.5172001  -2.0137641
  -0.04817929  0.87529033  0.25122708  0.8222673   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
