,label,feature_less,feature_more
10,[2],"[[ 1.3588448   4.9269257  -1.0833968   2.3747373   0.20069289  2.6033201
   3.3416538  -0.82489896  0.7962495   4.067864  ]]","[[-0.63059306 -0.8425769   1.9088596   1.0674692  -0.5213262   0.7878787
   0.93668735 -0.79352957 -3.7567198  -2.3336496   0.38929686 -0.66882247
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  1.1412294  -1.1681724  -0.39373744  0.12016572
   0.88887197 -1.1725585  -1.3262047  -0.5070165   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
11,[2],"[[ 1.9436474   2.4689593  -0.3863093  -0.06126033 -1.033207    2.1492684
   1.8107682   0.10872543  1.1945226   1.357499  ]]","[[ 0.00635776  0.356544    0.7735034   1.4417156   0.02217716  1.2462554
   0.882486    0.7796656  -0.00891656 -1.3544271  -0.9647862   1.0961609
   0.59173816  1.1600078  -2.216716   -0.15974703 -1.2146194   0.655605
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.48269236  1.5128133  -1.4077207  -0.2556093
  -1.3002063  -2.0821638  -0.34933716  0.8322443   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
12,[2],"[[ 0.9469543   1.184914    0.5092869   0.44300663  1.441795    0.38141125
   1.5287102  -1.0776253   0.25266337  0.6198811 ]]","[[-0.09570007  0.01178109 -0.1148067  -0.4172313  -0.00991759 -0.14561963
  -0.20560515  0.31616616 -0.15020928  0.14543663 -0.2157348  -0.48290756
   0.23685944  0.45288846  1.0501946  -0.60291135 -0.4524365  -1.6389859
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.94461185
   1.2952564  -0.53641486 -0.21968353  1.4679812   0.0772579   0.7311435
  -2.2869287   0.43534327 -0.86228174  1.2518997   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
13,[2],"[[ 0.3508349   3.063029   -0.7535951   1.2407815   1.2261345   0.49850613
   3.1050887  -1.2186058   0.57150894  3.2805898 ]]","[[ 0.38993448 -0.7165544   1.9114916  -0.6996793  -1.3013663   0.6560165
   1.0832047  -0.20205387  0.88687277 -0.46121874  0.7002752  -1.2302042
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486 -1.2857169   0.5396629  -0.38801846 -1.7111437
   0.45677882  1.9997048  -1.8559295   2.0017173   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
14,[2],"[[ 0.49153462  2.567968   -0.48310038  1.1274638  -0.88586193  2.3302603
   2.8604362  -0.28046972  1.0464962   1.3290721 ]]","[[-0.63059306 -0.8425769   1.9088596   1.0674692  -0.5213262   0.7878787
   0.93668735 -0.79352957 -3.7567198  -2.3336496   0.38929686 -0.66882247
  -0.34974197  0.13950904 -1.8039689   1.2228197  -0.51845014 -0.80041707
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.40609965 -1.0383558   1.8364968   0.9757762
  -1.0346873  -0.9106276  -1.2448447  -0.8337151   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
15,[2],"[[ 2.2857282   3.4422765  -0.3889064   1.5179218   2.4833183   1.1768653
   2.3513415  -0.27811196  1.1554122   3.39386   ]]","[[-2.4251192   1.1477351  -1.4604217   0.3863838   0.97417843 -0.0603299
   0.02136774 -0.762046   -0.81778485 -0.66325855  1.8667494  -0.50575477
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486 -1.3285922  -0.13892329 -0.3564984  -0.22891986
  -0.7087702  -2.0238566   1.66157     1.4384288   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
16,[1],"[[ 3.067835    0.16319722  1.5974334   0.04688655 -0.2907772  -0.79063994
   0.03215125 -0.9760534   0.1694285   0.4327803 ]]","[[-0.35680366 -0.6888149  -0.4990665   0.35242534  0.28457847 -1.1634424
   0.53187144  1.0288508  -0.20955905 -0.26323414  0.19866195 -0.00469809
  -1.2754244   1.5924913   1.0922399   0.6149484  -0.39225075  0.7096871
  -0.83306605  0.5335611   1.7536792   0.17382461 -0.91133404  0.9446117
   1.2952564  -0.5364148   0.9579352   0.51874006 -1.3292277  -2.199278
   0.02098217 -1.0850742   0.18486978  1.6834996   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
17,[1],"[[ 3.5690498  -0.03105026  2.5843832  -0.10434298 -0.3395016  -0.6846398
   0.42368087 -0.42887738 -0.00491732  0.02768568]]","[[-1.6193924   1.3360554   0.88332933 -0.15260509  1.0520582  -1.2170004
   1.3177159   1.0166866  -0.26519015 -0.28712016 -0.67620087  0.09942833
  -1.6885669   2.3231316   0.5992836   0.65959215 -0.729008    1.0226396
  -0.8330661   0.53356117  1.7536793   0.17382461 -0.9113341   0.9446117
   1.2952564  -0.53641486  0.69295734  0.15648818  0.42115587 -1.8339952
  -0.26211968  0.7509613   0.08853526  0.8186538   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
18,[2],"[[ 2.112583    2.245063   -0.39504394 -0.47294283  0.2761222   1.9673318
   0.34071007 -0.46706322  1.4342848   1.0157382 ]]","[[-0.4195475   0.92727137 -0.8834431   0.5271043   0.8731204   1.2708635
   0.55228114 -0.15332346  0.1433411   0.45818156 -0.20923701  1.1302919
   0.61359084  1.1886402  -2.1925185  -0.13965316 -1.2040399   0.7684421
  -0.8330661   0.53356117  1.7536793   0.17382464 -0.91133416  0.9446118
   1.2952564  -0.53641486  0.40770972  2.7796607   0.27346     0.04647752
   1.1746277  -1.0431855  -0.798237   -0.65964025  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
19,[2],"[[ 2.1310236   3.5571692  -0.5162964   1.0976869   2.0549083   2.3720589
   1.913569    0.00450972  0.750727    3.2981477 ]]","[[-1.1452905  -0.8129798  -1.3581868   0.36597672 -0.26624188  1.8704382
   0.22796865 -1.0348247  -0.8329509   0.4084159   0.25013846 -1.2207744
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486 -1.8767351   0.97421193  0.62166643  0.15614629
   0.3434758  -0.71752924  0.91034746 -0.4981879   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
20,[2],"[[ 0.5949071  4.1853447 -1.9064343  1.4250377 -0.5671853  2.9212198
   3.4836218 -0.5661983  1.4689476  2.8454988]]","[[-0.6016117  -0.8113176   1.8900462   1.0665555  -0.5188362   0.77519184
   0.9187016  -0.767005   -3.717031   -2.3098364   0.3791774  -0.6332844
   0.2734307   0.7161898  -2.5164843  -0.45282385 -1.3306904  -0.973399
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  1.1412294  -1.1681724  -0.39373744  0.12016572
   0.88887197 -1.1725585  -1.3262047  -0.5070165   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
21,[3],"[[-0.66246504 -0.07601031  0.19000712  0.452918    2.051282   -0.4408551
   1.6829106  -0.5549028   0.28554064 -0.22474569]]","[[-0.04060128  0.04462736 -0.16412991 -2.0726438  -1.0245531  -0.83364403
   0.9734416   0.04666222  0.23619726  0.78364646  0.53674614  0.9216752
  -0.25866085 -1.817455   -0.06468552 -0.41244733 -0.5893292  -0.99092126
  -0.72060525 -0.06301814  0.83515835  0.12792686 -0.51444715  1.2388341
   0.67666173 -0.16793932  0.9462226  -0.75717187  0.7337494  -0.8008238
  -0.5619946  -1.581055    1.5828142   0.4497023   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
22,[1],"[[ 2.6155035  -0.03833326  2.080442    0.02462235 -0.44792682 -0.7559429
   0.5857178  -0.8639441  -0.32573998  0.25516206]]","[[-0.47907817 -1.7961836   0.00881167 -0.29665273 -0.43487749  0.19112279
   1.2265627   0.2750434  -0.37551004  0.8421526  -1.0545785  -0.9280861
  -0.17678213 -0.35045236  2.403126    0.4962304   0.50326544 -0.12252657
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.9579352   0.51874006 -1.3292277  -2.199278
   0.02098217 -1.0850742   0.18486978  1.6834996   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
23,[2],"[[ 1.677836    3.0962799  -0.12714359  1.5236319  -0.3726859   2.2854896
   3.020212   -0.3207668   0.39393204  2.4797735 ]]","[[-0.63059306 -0.84257686  1.9088596   1.0674691  -0.5213262   0.7878787
   0.93668735 -0.7935295  -3.7567196  -2.3336496   0.38929683 -0.6688224
   0.5949458   0.9325315   0.6254159  -0.52882844 -0.6493873  -1.4539771
  -0.8330661   0.5335611   1.7536793   0.17382461 -0.91133404  0.9446118
   1.2952564  -0.53641486 -0.88652915  0.5835625   0.67582923  0.96530694
   0.07335456  0.32954526 -0.51132464  1.3414431   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
24,[2],"[[-0.909535   3.6741517 -2.66231    2.1623595  2.0862365  1.8112869
   1.8959152 -1.8936942  0.9380237  3.2577415]]","[[ 2.222197   -0.07364151  1.7103912   0.0901106   0.93959296  0.22145072
  -1.8660016  -1.2737209  -0.42430615 -1.2706409   1.0634257  -0.32835582
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.40770972  2.7796607   0.27346     0.04647752
   1.1746277  -1.0431855  -0.798237   -0.65964025  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
25,[2],"[[ 2.3488743   4.051556   -0.95016396  1.5032493   1.8443583   2.2109761
   1.7806469  -0.4674616   0.9980754   3.6525261 ]]","[[-1.1452905  -0.8129798  -1.3581868   0.36597672 -0.26624188  1.8704382
   0.22796865 -1.0348247  -0.8329509   0.4084159   0.25013846 -1.2207744
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.86745906  0.53595805  0.21541898 -0.70573455
  -0.07429618 -2.715571    1.0806997  -0.12380302  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
26,[2],"[[ 1.1544316   2.9822283  -0.5285461   1.4531986   2.329803    1.2122604
   2.872298   -0.38524812  0.9719838   2.6108909 ]]","[[ 0.5765543   1.3670017  -1.144455    0.8064532  -0.4877719   0.20613217
   1.105515   -0.51552284 -0.23151483  1.1911896   1.0841454   0.03589191
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486 -0.2535794  -0.8327759  -0.79909104  0.93656504
  -0.26607555  0.48151478  1.254783    1.2686669   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
27,[1],"[[ 3.067835    0.16319722  1.5974334   0.04688655 -0.2907772  -0.79063994
   0.03215125 -0.9760534   0.1694285   0.4327803 ]]","[[-0.35680366 -0.6888149  -0.4990665   0.35242534  0.28457847 -1.1634424
   0.53187144  1.0288508  -0.20955905 -0.26323414  0.19866195 -0.00469809
  -1.2754244   1.5924913   1.0922399   0.6149484  -0.39225075  0.7096871
  -0.83306605  0.5335611   1.7536792   0.17382461 -0.91133404  0.9446117
   1.2952564  -0.5364148   0.9579352   0.51874006 -1.3292277  -2.199278
   0.02098217 -1.0850742   0.18486978  1.6834996   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
28,[1],"[[ 4.080267    0.06052475  4.033669   -0.6359795  -1.5806898  -0.0335484
  -0.6592263  -0.17211041 -0.3363073  -0.02223746]]","[[-0.59841615  0.6859175  -0.2734803   1.6643205  -0.35875952  1.1210955
   1.884575    0.6120163  -0.10833497  0.54711306 -0.46425265  0.7233966
  -0.88940024 -0.1378649   3.6799657   0.19272609 -0.49506232  2.0722334
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.40770972  2.7796607   0.27346     0.04647752
   1.1746277  -1.0431855  -0.798237   -0.65964025  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
29,[3],"[[ 1.070083   -0.10100504  0.48162663 -0.275735    0.89586556 -0.2755766
   0.56022143 -1.1934998   0.38924372  0.00623793]]","[[-0.21156684 -0.1804379  -0.05210803 -0.9533682   0.7473747  -0.28625387
  -0.4034329  -0.12724921  0.10557029  0.16165566  0.5661881  -1.1577569
  -0.9381092   0.84420097 -0.15960033 -0.06538495  0.34668303  0.7769195
  -0.83306605  0.53356117  1.7536793   0.17382461 -0.91133404  0.9446117
   1.2952564  -0.53641486 -0.65088964  1.6597266   0.6438519  -0.7848384
   1.3224118   0.37433204 -0.02402601  0.02988604  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
30,[3],"[[ 0.05463195 -0.00976063  0.6677856  -0.3837136   0.5340816  -1.1025853
   1.5366315  -0.7881233   0.63210344 -0.12329338]]","[[ 1.4071133   1.3552908   0.5860719   1.0032266  -0.34625396 -0.1041408
  -0.32790434  1.0714319  -0.96616274 -0.6593213  -0.3222116   1.8298906
   0.21848637 -1.2103988   1.075132   -0.53022677  1.2787081  -0.24596426
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.9579352   0.51874006 -1.3292277  -2.199278
   0.02098217 -1.0850742   0.18486978  1.6834996   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
31,[2],"[[ 2.1633008   3.6254272  -0.5835072   0.86106145  1.7218198   1.1721514
   2.1464689  -0.6294284   0.69837844  3.575722  ]]","[[-1.1452905  -0.8129798  -1.3581868   0.36597672 -0.26624188  1.8704382
   0.22796865 -1.0348247  -0.8329509   0.4084159   0.25013846 -1.2207744
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.29921845  0.10136075 -0.7550871  -1.4939771
  -0.25080618  1.7032973   0.49210444  1.485461    0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
32,[2],"[[ 0.35605    3.6338015 -1.7373853  2.1496232  2.3461454  2.1974502
   2.2298644 -1.0523417  1.2214566  3.0434601]]","[[ 0.6250979   0.2915729   0.4966226   0.23384021 -0.64990073  0.35169756
  -0.8177847  -1.2546482   0.5465486   1.5250201   0.57927793  0.08218922
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.8734992   1.0810983  -1.4660906   1.375618
  -0.22991027 -2.9541602   0.84636617  0.28749016  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
33,[2],"[[ 1.1151452   3.3012664  -0.37134317  1.1887659   2.516987    1.4395903
   1.4358693  -0.927069    1.1783402   2.6580877 ]]","[[-0.6235756   0.1769073  -0.6917642  -0.1842478   0.4005527   1.4514335
  -0.8455042  -0.70660186  0.11237223  1.120852    0.3450736   1.0691115
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.8603763   0.4286792  -0.19545095  0.50392663
  -2.5439656  -0.9077919  -0.5853196   0.06287668  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
34,[2],"[[ 2.3488743   4.051556   -0.95016396  1.5032493   1.8443583   2.2109761
   1.7806469  -0.4674616   0.9980754   3.6525261 ]]","[[-1.1452905  -0.8129798  -1.3581868   0.36597672 -0.26624188  1.8704382
   0.22796865 -1.0348247  -0.8329509   0.4084159   0.25013846 -1.2207744
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  0.86745906  0.53595805  0.21541898 -0.70573455
  -0.07429618 -2.715571    1.0806997  -0.12380302  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
35,[2],"[[ 1.8568492   4.32796    -0.7852341   2.0431435   0.29721117  2.2649448
   3.5664012  -0.22893547  0.4895303   4.10522   ]]","[[-0.63059306 -0.8425769   1.9088596   1.0674692  -0.5213262   0.7878787
   0.93668735 -0.79352957 -3.7567198  -2.3336496   0.38929686 -0.66882247
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486 -0.27176613 -0.38634005 -0.43567276 -1.1896373
  -0.45480677  0.48183873  0.41559726  0.88643885  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
36,[2],"[[ 2.0578017  4.118103  -1.0696123  1.0311865  1.6709644  2.0487967
   1.4452323 -1.2410159  0.6267714  3.2737203]]","[[-1.1452905  -0.8129798  -1.3581868   0.36597672 -0.26624188  1.8704382
   0.22796865 -1.0348247  -0.8329509   0.4084159   0.25013846 -1.2207744
   2.002139    0.9352082   1.3683447  -1.4140325  -1.5529788  -2.7215705
  -0.8330661   0.53356117  1.7536793   0.17382462 -0.9113341   0.9446118
   1.2952564  -0.53641486  1.6488135   2.2214546  -0.30641526  0.7052948
   1.5084281   0.97267467 -0.52446276  0.3763767   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
37,[1],"[[ 2.1929348   0.29558998  1.5939399  -0.13853823 -0.10243973 -0.63037807
   0.8473642  -0.5590469   0.24685442  0.42546487]]","[[-0.41460466 -0.38729382 -0.1314663   0.6351123  -0.22148049  0.36328655
   1.1614454   0.5074236  -0.11367486  0.5928997  -0.6682519   0.06499677
  -0.569665   -0.13236399  1.4105784   0.29279166  0.43790218 -0.5072595
  -0.8330661   0.5335612   1.7536793   0.17382464 -0.91133404  0.9446119
   1.2952564  -0.53641486  0.9579352   0.51874006 -1.3292277  -2.199278
   0.02098217 -1.0850742   0.18486978  1.6834996   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
38,[1],"[[ 3.5690498  -0.03105026  2.5843832  -0.10434298 -0.3395016  -0.6846398
   0.42368087 -0.42887738 -0.00491732  0.02768568]]","[[-1.6193924   1.3360554   0.88332933 -0.15260509  1.0520582  -1.2170004
   1.3177159   1.0166866  -0.26519015 -0.28712016 -0.67620087  0.09942833
  -1.6885669   2.3231316   0.5992836   0.65959215 -0.729008    1.0226396
  -0.8330661   0.53356117  1.7536793   0.17382461 -0.9113341   0.9446117
   1.2952564  -0.53641486  0.69295734  0.15648818  0.42115587 -1.8339952
  -0.26211968  0.7509613   0.08853526  0.8186538   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
39,[0],"[[ 3.2204304  -0.8882525   3.7127361  -0.5292877  -0.6974585  -0.4523725
   0.17318243  1.0677161  -0.3080761  -0.02891503]]","[[-0.4860431   1.1001189  -0.1500186   1.0396183   0.10134578  0.78229874
   1.2677051   0.54882514  0.19323888  0.48402596 -0.46897233  0.6452548
  -0.63351446  0.04225904  2.7407813   0.3278968  -0.47734624  1.7126939
  -0.7314929  -0.00526208  0.9240824   0.13237034 -0.55287063  1.21035
   0.73654926 -0.20361224 -2.0201905  -0.43901676  0.64845026 -1.7325506
  -1.0191141  -1.6242515   2.0915864  -0.6204421   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
