,label,feature_less,feature_more
10,[2],"[[ 3.2993793  -1.9708521   2.1940827   2.1112852   3.1646767   2.4229863
   0.43741414  2.9963195  -2.9814517   0.1529676 ]]","[[-0.28901502  0.69631857 -0.6331391   0.75861526  0.7374362   0.7541491
  -0.63872766 -0.6924443  -0.75849015 -0.75271475 -0.0231442  -0.715526
  -0.71491694 -0.7111005   0.6692306  -0.65775764  0.29497296  0.34885794
  -0.22722797  0.65952754 -0.70532995  0.50585544  0.71231306 -0.33755606
   0.6556251   0.01113991  1.2280928  -1.0810736  -0.4623351  -0.16448979
   0.84480584 -1.4555733  -1.064464   -0.57649267  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
11,[2],"[[ 1.8062714  -1.1388488   2.522304    2.0290184   1.1143894   1.4266181
   0.75263095  2.7929444  -1.542757   -1.5499101 ]]","[[ 0.25199717 -0.49405533  0.5657218   0.14731866  0.35244894  0.33132893
  -0.4042979  -0.7409557  -0.15463708 -0.59744173 -0.04505129 -0.78295803
  -0.29352155 -0.8201724   0.5297295  -0.7445893  -0.02961597  0.43426043
   0.5364159   0.6013666  -0.6642839  -0.06805266  0.64154345 -0.53177905
   0.12493368  0.5886079   0.46637484  1.5332288  -1.2023191  -0.3925518
  -1.161041   -1.8865027  -0.4806167   0.9800111   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
12,[2],"[[ 1.1295185 -1.1093237  1.1366835  1.1386135  1.1953137  1.3078003
  -0.0063177  1.4461951 -1.2590163 -1.1819236]]","[[ 0.140966    0.36783618 -0.8900794   0.45951876  0.6629902   0.13531794
  -0.35468572 -0.5764674  -0.8383667  -0.40373394  0.39624965 -0.6760004
   0.27620238 -0.6238757  -0.03908283  0.37529424  0.45870802 -0.514767
  -0.50757223  0.14582637 -0.2048762   0.5312963   0.60557604 -0.59681827
   0.68574333 -0.06712584  0.51017743  1.3935069  -0.4371933  -0.03013163
  -1.4704993  -0.30323753 -1.3293465   1.8508865   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
13,[2],"[[ 1.7911476  -2.3186982   2.200772    2.1943293   2.5576274   1.0391225
  -0.38103697  2.7172582  -2.6231623  -0.546345  ]]","[[ 0.0049366   0.4046288  -0.5846513   0.7491518   0.74668634  0.64232093
  -0.574577   -0.73126155 -0.7502153  -0.72498983  0.01401339 -0.26924434
  -0.7174424  -0.60402226 -0.30683726 -0.6196982   0.7261452   0.5466443
  -0.08579258  0.7235157  -0.64575446  0.6197771   0.5897765  -0.6697337
   0.49723786  0.04471567 -1.1585084   0.6374751  -0.19238639 -1.7538416
   0.57095766  1.8937587  -1.7492479   2.046338    0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
14,[2],"[[ 3.1030009  -2.237032    0.43670556  2.6361098   3.0783663   2.518893
  -0.6044557   2.459735   -3.292978    1.0971912 ]]","[[-0.6746134  -0.7450341  -0.66764176  0.6963942   0.4671737   0.7538634
  -0.6457643  -0.5363351  -0.63088083 -0.7218428  -0.250329   -0.6822855
  -0.4093361  -0.67180926  0.6572735  -0.6992482   0.00974979  0.20846649
   0.6258892   0.6686475  -0.6383664   0.61422247  0.73639184 -0.19866501
   0.4773372  -0.7111896   0.5792648  -0.43003106  1.5030689   0.42956093
  -1.2776015  -0.7959629  -1.3891029  -0.7952162   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
15,[2],"[[ 1.5594659  -2.1148777   1.8111284   1.7846296   1.1150192   3.7038825
   0.42583513  1.9719467  -2.360409   -0.6413487 ]]","[[ 0.14400128  0.41231638 -0.755203    0.7545182   0.75164837  0.74727607
  -0.31650895 -0.7373928  -0.74577147 -0.72628057 -0.0117675  -0.7312087
  -0.3020145  -0.5675945   0.62171173 -0.5850051   0.69898456  0.02819518
  -0.14158273  0.66138095 -0.71689945  0.48467684  0.6171858   0.26593393
   0.3327366  -0.21498796 -1.8738451   0.04773293  0.38655752  0.29318088
  -1.2133309  -1.2865968   2.2463133   1.0627408   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
16,[1],"[[-0.7650559   1.7455492   2.298207   -0.86100227 -0.8037326  -0.74139667
   2.1684356   0.46434125  1.8091179  -1.0009097 ]]","[[ 0.34150228  0.4548165   0.46211547  0.2602049  -0.6344725  -0.7183378
   0.44950578  0.02534013 -0.69184947  0.38668913 -0.28857243 -0.621476
   0.6547651  -0.6368929  -0.13932818  0.20195012 -0.30788773 -0.12145886
  -0.20657203 -0.3149976  -0.5128964   0.06434499  0.0570117  -0.37597573
  -0.09238864  0.61124593  0.8286672   0.621858   -1.5033605  -1.6773194
  -0.29756784 -0.9175728   0.23787883  1.6603314   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
17,[1],"[[-0.28446245  2.229568    2.450375   -1.0755666  -0.7901685  -0.7498622
   2.9488313   0.17509505  2.7165318  -0.78188765]]","[[ 0.6213791   0.42854935  0.8209096   0.4375319  -0.737929   -0.7526831
   0.6109123  -0.05302157 -0.8233781   0.42791098 -0.66248256 -0.40814883
   0.7022623  -0.647622    0.34173876  0.14353152 -0.12471775  0.3042585
  -0.05433558 -0.41084033 -0.35517865 -0.32869223  0.37596256 -0.13745742
   0.16927703  0.5493082   1.0594581  -0.03983967  0.38511288 -2.0776174
   0.1995977   0.6608591  -0.12634248  1.0996432   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
18,[2],"[[ 2.2107131  -1.2415206   2.4968665   2.13297     0.93320644  1.2700132
   1.4261651   1.8420182  -1.1326363  -1.1182325 ]]","[[ 3.6885703e-01 -9.6456610e-02 -7.2273314e-03 -1.1605024e-04
   4.3487832e-01  1.5355495e-01 -4.5978937e-01 -7.7207208e-01
   5.2200633e-01 -5.7290399e-01 -2.3347399e-01 -8.1738639e-01
  -6.3309081e-02 -7.8962356e-01  4.6232906e-01 -7.1287560e-01
   1.0224192e-01  4.1141558e-01  4.6326804e-01  5.3372598e-01
  -6.5476453e-01 -7.7864096e-02  5.6145990e-01 -2.7773637e-01
   2.8237240e-02  3.2270095e-01  2.3673305e-01  2.8699453e+00
   2.9506972e-01  1.0788308e-01  9.1774601e-01 -8.1299961e-01
  -7.7761072e-01 -7.2470194e-01  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]"
19,[2],"[[ 2.6443279  -2.391471    2.6665277   2.4992814   2.0186772   2.522466
   0.7609733   2.565077   -2.618663   -0.45535758]]","[[ 0.02535213  0.59565014 -0.62825257  0.75675184  0.7438155   0.73447764
  -0.5185127  -0.7423269  -0.7481322  -0.73833686 -0.0870953  -0.6955222
  -0.64566773 -0.72694886  0.6174446  -0.6652649   0.64594674 -0.3987555
  -0.11562694  0.69392586 -0.71197003  0.37414986  0.7035139  -0.63372266
   0.66741246  0.01172286 -1.0381769   0.5031614   0.5249545  -0.22782588
   1.1532809  -1.6386862   0.4093059   0.143586    0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
20,[2],"[[ 3.3329492 -2.4577436  1.4680641  2.8446045  3.754508   2.3477824
  -0.4384971  2.775184  -3.8559887  1.521522 ]]","[[-0.61744744 -0.71811384 -0.61589026  0.6449027   0.64197373  0.7641534
  -0.6606706  -0.6660089  -0.55645865 -0.74068826 -0.09701166 -0.6953152
  -0.47018775 -0.46926877  0.7759406  -0.41690448  0.01508325  0.47360337
   0.5576956   0.8568431  -0.8335847   0.14040317  0.89439154 -0.23480523
   0.30795828 -0.6456056   1.2280928  -1.0810736  -0.4623351  -0.16448979
   0.84480584 -1.4555733  -1.064464   -0.57649267  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
21,[3],"[[-0.6282296   0.85138    -0.529058   -0.27868897 -0.3224353  -0.3108993
  -0.07820445 -0.9868169   0.890779    3.161598  ]]","[[-0.0060312  -0.13261454 -0.45649034  0.39294556 -0.69582796  0.31737506
   0.7149264   0.53968704 -0.29513973  0.6802237   0.21965677  0.19564427
   0.2804212  -0.07549235 -0.16194062  0.62637335  0.14551672 -0.42708093
  -0.57586646  0.5441015   0.40195656  0.01504817 -0.19721273 -0.06558688
  -0.2659705  -0.6819595   1.0374007  -0.6059264   0.6042399  -0.82862306
  -0.6092214  -1.8375992   1.4249345   0.4551996   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
22,[1],"[[-1.45315     1.6155001   1.6701083  -1.2602091  -1.5428216  -1.4856868
   2.1399813   0.23039079  2.1257098  -1.61426   ]]","[[ 0.05007908  0.70022005 -0.00752863 -0.55524385 -0.53072685 -0.01463567
   0.4422495   0.10041281 -0.6767939   0.23197342 -0.6434446   0.01137657
   0.72533685 -0.7042338  -0.6315062   0.09085407 -0.05046475 -0.47095892
  -0.18719552 -0.5385265   0.1334475   0.01424855 -0.46095818 -0.7356491
  -0.54974556  0.7159364   0.8286672   0.621858   -1.5033605  -1.6773194
  -0.29756784 -0.9175728   0.23787883  1.6603314   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
23,[2],"[[ 2.3074872  -1.420599    1.3194652   1.8267621   2.4499404   2.6634583
   0.07073725  2.019055   -2.686023    0.51261556]]","[[-0.3550481   0.20792916 -0.5948694   0.8545209   0.62250435  0.86487204
  -0.07045056 -0.23999539 -0.8231498  -0.7664281  -0.16203815 -0.7196426
  -0.6661267  -0.7941017   0.7503321  -0.7167696   0.20180699  0.3586863
  -0.37379587  0.7116853  -0.76263773  0.2448726   0.79216415 -0.43288398
   0.73768836 -0.07484508 -0.63286334  0.21224606  0.9071058   0.8562158
   0.37195987  0.02009674 -0.8736772   1.4153409   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
24,[2],"[[ 2.7695858  -2.705098    2.473343    2.4549887   1.843575    1.5010765
   0.2870311   2.4551728  -2.5560832  -0.37548748]]","[[ 0.0176049   0.4464034  -0.45542535  0.6430996   0.7410439   0.7043519
  -0.5191983  -0.7529236  -0.74705774 -0.73778605  0.0045171  -0.6469979
  -0.520985    0.29451367 -0.21677308 -0.2851892   0.72204334  0.6891356
  -0.24117886  0.6261535  -0.7125864   0.7298179   0.7388224  -0.06591073
   0.6305024  -0.02126096  0.23673305  2.8699453   0.29506972  0.10788308
   0.917746   -0.8129996  -0.7776107  -0.72470194  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
25,[2],"[[ 2.9940045  -2.6793003   2.9683952   2.6517954   1.8750695   2.4355774
   0.7653221   3.0571852  -2.2986233  -0.51716924]]","[[ 0.02535213  0.59565014 -0.62825257  0.75675184  0.7438155   0.73447764
  -0.5185127  -0.7423269  -0.7481322  -0.73833686 -0.0870953  -0.6955222
  -0.64566773 -0.72694886  0.6174446  -0.6652649   0.64594674 -0.3987555
  -0.11562694  0.69392586 -0.71197003  0.37414986  0.7035139  -0.63372266
   0.66741246  0.01172286  1.077699    0.68425417  0.22680673 -0.6940173
   0.27924576 -2.830672    1.0972128  -0.01823738  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
26,[2],"[[ 2.1674187  -2.4895554   2.095159    1.9712546   2.2908676   3.154122
  -0.21666695  2.9999459  -2.9631045  -0.804291  ]]","[[ 1.8874697e-02  1.4983970e-01 -7.4395275e-01  7.4491864e-01
   7.4330515e-01  7.3863465e-01 -5.5324394e-01 -6.9290107e-01
  -7.1991545e-01 -6.9613856e-01  3.7454830e-03 -6.8894517e-01
  -6.1113465e-01 -6.2974441e-01  5.3715384e-01 -6.3653105e-01
   7.3774540e-01 -6.5182857e-02 -5.7487227e-02  6.9330704e-01
  -7.2395927e-01  5.5665582e-01  7.2211164e-01 -4.9492863e-01
   3.4944931e-01 -3.3328441e-04  1.3588928e-01 -5.4066056e-01
  -1.1446519e+00  5.9352088e-01 -1.7408207e-01  2.2892036e-01
   8.4763253e-01  1.3980839e+00  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]"
27,[1],"[[-0.7650559   1.7455492   2.298207   -0.86100227 -0.8037326  -0.74139667
   2.1684356   0.46434125  1.8091179  -1.0009097 ]]","[[ 0.34150228  0.4548165   0.46211547  0.2602049  -0.6344725  -0.7183378
   0.44950578  0.02534013 -0.69184947  0.38668913 -0.28857243 -0.621476
   0.6547651  -0.6368929  -0.13932818  0.20195012 -0.30788773 -0.12145886
  -0.20657203 -0.3149976  -0.5128964   0.06434499  0.0570117  -0.37597573
  -0.09238864  0.61124593  0.8286672   0.621858   -1.5033605  -1.6773194
  -0.29756784 -0.9175728   0.23787883  1.6603314   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
28,[1],"[[-0.22601621  2.4380002   1.7894303  -0.91749066 -1.7087162  -0.72626233
   3.282725   -0.47395217  2.5394912  -1.0364791 ]]","[[ 0.81001186  0.40052888  0.7269551  -0.20604104 -0.69373786 -0.71847385
   0.52070236  0.29303926 -0.8045758   0.09837646 -0.57981133  0.13913757
   0.7185832  -0.7213975   0.45749366  0.06383178 -0.01402023 -0.4886282
  -0.02479016 -0.19394916 -0.47564822 -0.11955941 -0.3536568  -0.0742667
   0.16628885  0.7068142   0.23673305  2.8699453   0.29506972  0.10788308
   0.917746   -0.8129996  -0.7776107  -0.72470194  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
29,[3],"[[ 0.43521112 -0.15803954  0.4521109   0.569004    0.6194629  -0.03165814
   0.4437826  -0.63610387 -0.2814824   1.5563558 ]]","[[-0.41619092 -0.03108474 -0.32737565  0.08578056  0.14492966 -0.6435312
   0.61591285 -0.49186885 -0.41676438  0.32661876 -0.2107558  -0.30982855
  -0.42310566 -0.13594097  0.12983532  0.5219679  -0.17544863 -0.00449424
  -0.7760366  -0.25192243  0.04855294  0.14447075  0.6475651  -0.21934669
   0.2634964  -0.5621797  -0.39784044  1.3697935   0.40766284 -1.0798799
   1.5999084   0.2396473  -0.314486    0.10129941  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
30,[3],"[[ 0.21451521  0.47510257  1.1785852  -0.03278775 -0.2966814   0.1174843
   0.21714334  0.52346134  0.05953158  0.43230212]]","[[ 0.47952244  0.3751167   0.5545371   0.03703168 -0.4108837   0.4540882
   0.5698329   0.6286999  -0.72829676  0.1899545   0.38089177 -0.12880512
  -0.6457614   0.2684494   0.30618358  0.44655618 -0.19008757  0.43572107
  -0.38564697  0.18955578 -0.41490927 -0.01054737  0.65100265 -0.08616546
   0.03651384  0.4072033   0.8286672   0.621858   -1.5033605  -1.6773194
  -0.29756784 -0.9175728   0.23787883  1.6603314   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
31,[2],"[[ 2.0797167  -2.3384233   2.1923783   1.8121715   1.9173678   2.8741624
   0.29449508  2.6989102  -2.277318   -1.8263273 ]]","[[ 0.02535213  0.59565014 -0.62825257  0.75675184  0.7438155   0.73447764
  -0.5185127  -0.7423269  -0.7481322  -0.73833686 -0.0870953  -0.6955222
  -0.64566773 -0.72694886  0.6174446  -0.6652649   0.64594674 -0.3987555
  -0.11562694  0.69392586 -0.71197003  0.37414986  0.7035139  -0.63372266
   0.66741246  0.01172286  0.01895417  0.29253447 -0.8720594  -1.1732844
  -0.43226683  1.64208     0.9232751   1.2985256   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
32,[2],"[[ 2.121735   -2.774382    2.5870848   2.117866    1.8523438   2.305552
  -0.09119805  3.4066489  -2.8824716  -0.8131174 ]]","[[ 0.00305204  0.2723097  -0.56388617  0.6971846   0.74931145  0.7027429
  -0.47063315 -0.73221755 -0.7142636  -0.7186726   0.01007461 -0.6818204
  -0.7060403  -0.39010906 -0.6271988  -0.532832    0.7433797   0.4918876
  -0.08432768  0.6758265  -0.7054856   0.66048574  0.61733943 -0.43317774
   0.5140288   0.21633896  0.6648002   1.1668183  -1.5431128   1.412069
  -0.49507317 -2.3190286   1.0466586  -0.04532467  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
33,[2],"[[ 2.2952592  -2.2191627   1.6515645   1.8579446   2.446712    1.7764803
  -0.3111105   3.0474584  -2.6426842  -0.81820273]]","[[ 4.2689084e-03  1.5988263e-01 -7.2326601e-01  7.2327232e-01
   7.4922210e-01  7.2877437e-01 -3.9827648e-01 -7.4325079e-01
  -7.1705425e-01 -7.2955930e-01  4.2086255e-02 -7.1676725e-01
  -6.1892188e-01 -5.2997506e-01 -3.3415940e-01 -5.2667212e-01
   7.3743391e-01  2.9511601e-01 -1.0043124e-01  6.4254880e-01
  -7.1261477e-01  5.3304005e-01  6.5761316e-01 -2.3089834e-01
   4.9702469e-01  1.3286468e-01  1.2481319e+00 -1.3343921e-03
  -5.9779304e-01  4.3006707e-02 -2.0040226e+00 -1.2339654e+00
  -1.1151931e+00  4.3118632e-01  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]"
34,[2],"[[ 2.9940045  -2.6793003   2.9683952   2.6517954   1.8750695   2.4355774
   0.7653221   3.0571852  -2.2986233  -0.51716924]]","[[ 0.02535213  0.59565014 -0.62825257  0.75675184  0.7438155   0.73447764
  -0.5185127  -0.7423269  -0.7481322  -0.73833686 -0.0870953  -0.6955222
  -0.64566773 -0.72694886  0.6174446  -0.6652649   0.64594674 -0.3987555
  -0.11562694  0.69392586 -0.71197003  0.37414986  0.7035139  -0.63372266
   0.66741246  0.01172286  1.077699    0.68425417  0.22680673 -0.6940173
   0.27924576 -2.830672    1.0972128  -0.01823738  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
35,[2],"[[ 2.3360095  -2.0621574   1.8511907   1.9320848   2.5240724   2.9279912
   0.07481558  2.7154448  -2.7395775  -0.9335736 ]]","[[-0.28901502  0.69631857 -0.6331391   0.75861526  0.7374362   0.7541491
  -0.63872766 -0.6924443  -0.75849015 -0.75271475 -0.0231442  -0.715526
  -0.71491694 -0.7111005   0.6692306  -0.65775764  0.29497296  0.34885794
  -0.22722797  0.65952754 -0.70532995  0.50585544  0.71231306 -0.33755606
   0.6556251   0.01113991 -0.3500646  -0.5251598  -0.6559025  -1.1685301
  -0.5064583   0.4301191   0.19801761  0.819817    0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
36,[2],"[[ 3.0616703  -2.4416516   2.6531243   2.1852942   2.041715    2.2345655
   0.66831684  2.6864316  -2.3456013  -0.9099277 ]]","[[ 0.02535213  0.59565014 -0.62825257  0.75675184  0.7438155   0.73447764
  -0.5185127  -0.7423269  -0.7481322  -0.73833686 -0.0870953  -0.6955222
  -0.64566773 -0.72694886  0.6174446  -0.6652649   0.64594674 -0.3987555
  -0.11562694  0.69392586 -0.71197003  0.37414986  0.7035139  -0.63372266
   0.66741246  0.01172286  1.7780819   2.028062   -0.24943843  0.623478
   1.7837924   0.860149   -0.6568931   0.41007456  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
37,[1],"[[-1.3630384   2.182859    1.6981688  -1.4332547  -1.5849767  -1.0907631
   2.3241994  -0.1923306   2.4169528  -0.86297107]]","[[ 0.67867696  0.63442385 -0.19636741 -0.26794624 -0.86492133 -0.5740677
   0.83199084  0.27170485 -0.8735553   0.8304215  -0.08271657 -0.7147111
   0.5720999  -0.5274098  -0.47721666  0.19473402 -0.04360446 -0.42399433
  -0.3078765  -0.54239345 -0.15745938 -0.00188562 -0.09144979 -0.6089624
  -0.41291633  0.71984434  0.8286672   0.621858   -1.5033605  -1.6773194
  -0.29756784 -0.9175728   0.23787883  1.6603314   0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.        ]]"
